No,Cement,Slag,Fly ash,Water,SP,Coarse Aggr.,Fine Aggr.,SLUMP(cm),FLOW(cm),Compressive Strength (28-day)(Mpa)
0.0,0.5738396624472574,0.42487046632124353,0.40384615384615385,0.625,0.31506849315068497,0.5732670371453641,0.15072685539403174,0.7931034482758621,0.7241379310344827,0.4305757135945816
0.00980392156862745,0.10970464135021096,0.7720207253886011,0.7346153846153847,0.25,0.5205479452054794,0.3948522959929801,0.4032134659525628,0.0,0.0,0.5793420416061925
0.0196078431372549,0.10548523206751059,0.766839378238342,0.7346153846153847,0.23750000000000027,0.7945205479452054,0.38607780052646934,0.39173680183626614,0.034482758620689655,0.0,0.5955491049830672
0.029411764705882353,0.10548523206751059,0.766839378238342,0.7307692307692308,0.23750000000000027,0.9999999999999999,0.380228136882129,0.38408569242540125,0.10344827586206896,0.025862068965517238,0.6020803096274794
0.0392156862745098,0.07172995780590719,0.5803108808290156,0.5538461538461539,0.75,0.3835616438356164,0.6288388417665982,0.06656465187452154,0.6896551724137931,0.7586206896551724,0.23294629898403485
0.049019607843137254,0.04219409282700426,0.461139896373057,0.44230769230769235,0.5250000000000004,0.31506849315068497,0.44457443696987387,0.720734506503443,0.7931034482758621,0.603448275862069,0.19400096758587326
0.05882352941176471,0.06329113924050633,0.7202072538860104,0.6846153846153846,0.10000000000000009,0.9315068493150686,0.6902603100321727,0.2081101759755164,0.0,0.0,0.5241896468311562
0.06862745098039216,0.03375527426160341,0.0,0.8730769230769231,1.0,0.1095890410958904,0.12284293653114942,0.8125478194338176,0.5,0.6637931034482758,0.46927914852443153
0.0784313725490196,0.06329113924050633,0.0,0.9115384615384616,0.5500000000000003,0.1095890410958904,0.22521205030710734,0.9617444529456769,0.5344827586206896,0.5344827586206896,0.37542331881954527
0.08823529411764705,0.7046413502109704,0.0,0.5384615384615385,0.6750000000000003,0.1095890410958904,0.5469435507458318,0.31140015302218815,0.6551724137931034,0.5344827586206896,0.5145137880986937
0.09803921568627452,0.03375527426160341,0.5492227979274612,0.5230769230769231,0.6000000000000001,0.3835616438356164,0.12576776835331938,0.9273144605967865,0.8448275862068966,0.7068965517241379,0.21359458151910982
0.10784313725490197,0.04641350210970463,0.5647668393782384,0.5346153846153846,0.4125000000000001,0.1780821917808219,0.17548990933021358,1.0,0.8189655172413793,0.6551724137931034,0.26221577164973386
0.11764705882352941,0.021097046413502074,0.6735751295336788,0.6423076923076924,0.6875,0.1095890410958904,0.07897045919859602,0.747513389441469,0.8793103448275862,0.8103448275862069,0.34300919206579583
0.12745098039215688,0.9156118143459916,0.0,0.0,0.9250000000000003,0.1095890410958904,0.7341327873647261,0.19280795715378707,0.5862068965517241,0.5862068965517241,0.40445089501693265
0.13725490196078433,0.9999999999999999,0.0,0.0,0.375,0.1780821917808219,0.8920737057619181,0.34200459066564637,0.5,0.38793103448275856,0.3688921141751329
0.14705882352941177,0.09282700421940926,0.6010362694300518,0.5730769230769232,0.1875,0.7260273972602739,0.716583796431705,0.30374904361132327,0.8103448275862069,0.5948275862068965,0.4078374455732945
0.1568627450980392,0.06751054852320681,0.0,0.9192307692307693,0.5,0.1095890410958904,0.8599005557180459,0.16602907421576107,0.41379310344827586,0.2586206896551724,0.2685050798258345
0.16666666666666666,0.6666666666666666,0.5492227979274612,0.5230769230769231,0.5750000000000002,0.45205479452054786,0.12284293653114942,0.47972456006120856,0.8620689655172413,0.8362068965517242,0.5761973875181421
